"ID","Status","Comment","Assertion"
"td-data-schema","null","not testable with Assertion Tester","All name-value pairs of an instance of one of the Subclasses of DataSchema, where the name is a Vocabulary Term included in the Signature of that Subclass or in the Signature of DataSchema, MUST be serialized as members of the JSON object that results from serializing the DataSchema Subclass's instance, with the Vocabulary Term as name."
"td-data-schema-arrays","null","not testable with Assertion Tester","The values assigned to enum, required, and oneOf in an instance of DataSchema MUST be serialized as a JSON array."
"td-data-schema-arrays_enum","null","not testable with Assertion Tester","The value of the member enum MUST be serialized as a JSON array with a DataSchema object."
"td-data-schema-arrays_oneOf","null","not testable with Assertion Tester","The value of the member oneOf MUST be serialized as a JSON array with a DataSchema object."
"td-data-schema-arrays_required","null","not testable with Assertion Tester","The value of the member required MUST be serialized as a JSON array with a DataSchema object."
"td-data-schema-objects","null","not testable with Assertion Tester","The value assigned to properties in an instance of ObjectSchema MUST be serialized as a JSON object."
"td-data-schema-objects-arrays","null","not testable with Assertion Tester","The value assigned to items in an instance of ArraySchema MUST be serialized as a JSON object or a JSON array containing JSON objects."
"td-data-schema_at-type","null","not testable with Assertion Tester","The @type vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_const","null","not testable with Assertion Tester","The const vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_contentEncoding","null","not testable with Assertion Tester","The contentEncoding vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_contentMediaType","null","not testable with Assertion Tester","The contentMediaType vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_description","null","not testable with Assertion Tester","The description vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_descriptions","null","not testable with Assertion Tester","The descriptions vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_enum","null","not testable with Assertion Tester","The enum vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_exclusiveMaximum-IntegerSchema","null","not testable with Assertion Tester","The exclusiveMaximum vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_exclusiveMaximum-NumberSchema","null","not testable with Assertion Tester","The exclusiveMaximum vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_exclusiveMinimum-IntegerSchema","null","not testable with Assertion Tester","The exclusiveMinimum vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_exclusiveMinimum-NumberSchema","null","not testable with Assertion Tester","The exclusiveMinimum vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_format","null","not testable with Assertion Tester","The format vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_items","null","not testable with Assertion Tester","The items vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_maxItems","null","not testable with Assertion Tester","The maxItems vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_maxLength","null","not testable with Assertion Tester","The maxLength vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_maximum-IntegerSchema","null","not testable with Assertion Tester","The maximum vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_maximum-NumberSchema","null","not testable with Assertion Tester","The maximum vocabulary term as defined in the class DataSchema for numbers MUST be serialized as a JSON name."
"td-data-schema_minItems","null","not testable with Assertion Tester","The minItems vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_minLength","null","not testable with Assertion Tester","The minLength vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_minimum-IntegerSchema","null","not testable with Assertion Tester","The minimum vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_minimum-NumberSchema","null","not testable with Assertion Tester","The minimum vocabulary term as defined in the class DataSchema for numbers MUST be serialized as a JSON name."
"td-data-schema_multipleOf-IntegerSchema","null","not testable with Assertion Tester","The multipleOf vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_multipleOf-NumberSchema","null","not testable with Assertion Tester","The multipleOf vocabulary term as defined in the class DataSchema MUST be serialized as a JSON name."
"td-data-schema_oneOf","null","not testable with Assertion Tester","The oneOf vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_pattern","null","not testable with Assertion Tester","The pattern vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_properties","null","not testable with Assertion Tester","The properties vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_readOnly","null","not testable with Assertion Tester","The readOnly vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_required","null","not testable with Assertion Tester","The required vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_title","null","not testable with Assertion Tester","The title vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_titles","null","not testable with Assertion Tester","The titles vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_type","null","not testable with Assertion Tester","The type vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_unit","null","not testable with Assertion Tester","The unit vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-data-schema_writeOnly","null","not testable with Assertion Tester","The writeOnly vocabulary term as defined in the class DataSchema for integers MUST be serialized as a JSON name."
"td-datetime-recommended-type","null","not testable with Assertion Tester","Values that are of type dateTime SHOULD use the literal Z representing the UTC time zone instead of an offset."
"td-datetime-type","null","not testable with Assertion Tester","format specified by [[RFC3339]]."
"td-default-alg","null","not testable with Assertion Tester","BearerSecurityScheme alg ES256"
"td-default-binding-method","null","not testable with Assertion Tester","When no method (or similar) is indicated in a form, Default Value MUST be assumed from the Protocol Binding identified in the form."
"td-default-contentType","null","not testable with Assertion Tester","Form contentType application/json"
"td-default-context-expansion","null","not testable with Assertion Tester","To enable semantic processing when the TD contains items with prefixes that are not defined in the @context, a TD Processor SHOULD expand the @context by adding definitions for those prefixes according to bindings defined in the [[WOT-BINDING-REGISTRY]]."
"td-default-format","null","not testable with Assertion Tester","BearerSecurityScheme format jwt"
"td-default-idempotent","null","not testable with Assertion Tester","ActionAffordance idempotent false"
"td-default-in-apikey","null","not testable with Assertion Tester","APIKeySecurityScheme in query"
"td-default-in-basic","null","not testable with Assertion Tester","BasicSecurityScheme in header"
"td-default-in-bearer","null","not testable with Assertion Tester","BearerSecurityScheme in header"
"td-default-in-digest","null","not testable with Assertion Tester","DigestSecurityScheme in header"
"td-default-observable","null","not testable with Assertion Tester","PropertyAffordance observable false"
"td-default-op-actions","null","not testable with Assertion Tester","Form op invokeaction If defined within an instance of ActionAffordance"
"td-default-op-events","null","not testable with Assertion Tester","Form op Array of string with the elements subscribeevent and unsubscribeevent If defined within an instance of EventAffordance"
"td-default-op-properties","null","not testable with Assertion Tester","Form op Array of string with the elements readproperty and writeproperty when readOnly and writeOnly are set to false or Array of string with the element readproperty when readOnly is set to true or Array of string with the element writeproperty when writeOnly is set to true. If defined within an instance of PropertyAffordance"
"td-default-qop","null","not testable with Assertion Tester","DigestSecurityScheme qop auth"
"td-default-readOnly","null","not testable with Assertion Tester","PropertyAffordance readOnly false The default value for this vocabulary term applies only to the PropertyAffordance level definition. In other contexts, such as DataSchema definitions, the vocabulary term is optional."
"td-default-safe","null","not testable with Assertion Tester","ActionAffordance safe false"
"td-default-success","null","not testable with Assertion Tester","AdditionalExpectedResponse success false"
"td-default-writeOnly","null","not testable with Assertion Tester","PropertyAffordance writeOnly false The default value for this vocabulary term applies only to the PropertyAffordance level definition. In other contexts, such as DataSchema definitions, the vocabulary term is optional."
"td-event-arrays","null","not testable with Assertion Tester","The value assigned to forms in an instance of EventAffordance MUST be serialized as a JSON array containing one or more JSON object serializations as defined in ."
"td-event-names","null","not testable with Assertion Tester","All name-value pairs of an instance of EventAffordance, where the name is a Vocabulary Term included in (one of) the Signatures of EventAffordance or InteractionAffordance, MUST be serialized as members of the JSON object that results from serializing the EventAffordance instance, with the Vocabulary Term as name."
"td-event-names_at-type","null","not testable with Assertion Tester","The vocabulary term @type MUST be serialized as a JSON name within an Event object."
"td-event-names_cancellation","null","not testable with Assertion Tester","The vocabulary term cancellation MUST be serialized as a JSON name within an Event object."
"td-event-names_data","null","not testable with Assertion Tester","The vocabulary term data MUST be serialized as a JSON name within an Event object."
"td-event-names_dataResponse","null","not testable with Assertion Tester","The vocabulary term dataResponse MUST be serialized as a JSON name within an Event object."
"td-event-names_description","null","not testable with Assertion Tester","The vocabulary term description MUST be serialized as a JSON name within an Event object."
"td-event-names_descriptions","null","not testable with Assertion Tester","The vocabulary term descriptions MUST be serialized as a JSON name within an Event object."
"td-event-names_forms","null","not testable with Assertion Tester","The vocabulary term forms MUST be serialized as a JSON name within an Event object."
"td-event-names_subscription","null","not testable with Assertion Tester","The vocabulary term subscription MUST be serialized as a JSON name within an Event object."
"td-event-names_title","null","not testable with Assertion Tester","The vocabulary term title MUST be serialized as a JSON name within an Event object."
"td-event-names_titles","null","not testable with Assertion Tester","The vocabulary term titles MUST be serialized as a JSON name within an Event object."
"td-event-names_uriVariables","null","not testable with Assertion Tester","The vocabulary term uriVariables MUST be serialized as a JSON name within an Event object."
"td-event-objects","null","not testable with Assertion Tester","The values assigned to subscription, data, and cancellation in an instance of EventAffordance MUST be serialized as JSON objects."
"td-event-objects_cancellation","null","not testable with Assertion Tester","The type of the members cancellation MUST be serialized as a JSON object."
"td-event-objects_data","null","not testable with Assertion Tester","The type of the members data MUST be serialized as a JSON object."
"td-event-objects_dataResponse","null","not testable with Assertion Tester","The type of the members dataResponse MUST be serialized as a JSON object."
"td-event-objects_subscription","null","not testable with Assertion Tester","The type of the members subscription MUST be serialized as a JSON object."
"td-event-trigger","null","not testable with Assertion Tester","Events MAY be triggered through conditions that are not exposed as Properties."
"td-events","null","not testable with Assertion Tester","All name-value pairs of a Map of EventAffordance instances MUST be serialized as members of the JSON object that results from serializing the Map; the name of a pair MUST be serialized as a JSON string and the value of the pair, an instance of EventAffordance, MUST be serialized as a JSON object."
"td-events_existence","null","not testable with Assertion Tester","Events offered by a Thing MUST be collected in the JSON-object based events member."
"td-events_uniqueness","null","not testable with Assertion Tester","Events collected in the JSON-object based events member MUST have unique JSON names."
"td-expectedResponse-default-contentType","null","not testable with Assertion Tester","If no response name-value pair is provided, it MUST be assumed that the content type of the response is equal to the content type assigned to the Form instance."
"td-expectedResponse-defined-contentType","null","not testable with Assertion Tester","If a content type is defined in the `response` object within a form, a Consumer MUST expect a response containing a payload in the respective format, e.g., an image in the case of `image/jpeg`."
"td-expectedResponse-missing-contentType","null","not testable with Assertion Tester","If there is no `contentType` value defined in a `response` object within a form, a Consumer MUST expect that the respective response does not contain any payload."
"td-form-additional-mediatype-metadata","null","not testable with Assertion Tester","Bindings MAY have additional information that specifies representation formats in more detail than the media type alone."
"td-form-context-submission-target","null","not testable with Assertion Tester","As a Form but not just the href defines how to execute the interaction, href of multiple Forms MAY point to the same resource, where the different Forms represent different operations on that resource."
